id_datve,id_nhanvien,id_user,id_suat,id_km,thoi_gian_dat,tong_tien,phuong_thuc_thanh_toan,ma_giao_dich,ten_nguoi_dat,so_dien_thoai,giam_gia,trang_thai,created_at
1,NULL,1,2,NULL,2026/06/02 23:04:00,200000,MoMo,MM001,Nguyen Van A,912345678,0,Da thanh toan,2026/06/02 23:04:00
2,NULL,2,2,NULL,2026/05/30 4:34:00,220000,VNPay,VNP001,Tran Thi B,987654321,0,Da thanh toan,2026/05/30 4:34:00
3,NULL,3,3,NULL,2026/05/20 14:25:00,250000,Banking,BNK001,Le Thanh C,901122334,0,Da thanh toan,2026/05/20 14:25:00
4,NULL,4,3,NULL,2026/05/20 4:14:00,180000,MoMo,MM002,Pham Thu D,911223344,0,Da thanh toan,2026/05/20 4:14:00
5,NULL,5,7,NULL,2026/05/25 11:05:00,190000,VNPay,VNP002,Hoang Gia E,922334455,0,Da thanh toan,2026/05/25 11:05:00
6,NULL,6,7,NULL,2026/06/01 2:53:00,210000,Banking,BNK002,Ngoc Lan F,933445566,0,Da thanh toan,2026/06/01 2:53:00
7,NULL,7,2,NULL,2026/05/30 13:10:00,240000,MoMo,MM003,Trinh Minh G,944556677,0,Da thanh toan,2026/05/30 13:10:00
8,NULL,8,3,NULL,2026/05/23 7:50:00,230000,VNPay,VNP003,Nguyen Thu H,955667788,0,Da thanh toan,2026/05/23 7:50:00
9,NULL,9,7,NULL,2026/05/28 22:20:00,280000,Banking,BNK003,Pham Quang I,966778899,0,Da thanh toan,2026/05/28 22:20:00
10,NULL,41,229,NULL,2026/06/06 2:30:00,200000,Banking,BA0010,nguyen_khoi,972445566,0,Da thanh toan,2026/06/06 2:30:00
11,NULL,48,1117,NULL,2026/07/06 7:30:00,100000,MoMo,MO0011,thuy_tien_98,967223344,0,Da thanh toan,2026/07/06 7:30:00
12,NULL,15,1035,NULL,2026/06/28 8:02:00,220000,VNPay,VN0012,hoa_nang_95,922334455,0,Da thanh toan,2026/06/28 8:02:00
13,NULL,38,570,NULL,2026/06/17 12:06:00,240000,MoMo,MO0013,quang_minh_it,915667788,0,Da thanh toan,2026/06/17 12:06:00
14,NULL,14,1564,NULL,2026/07/25 0:30:00,400000,Banking,BA0014,minh_triet,971234888,0,Da thanh toan,2026/07/25 0:30:00
15,NULL,30,1099,NULL,2026/07/01 14:24:00,120000,Banking,BA0015,xuan_bach,931223344,0,Da thanh toan,2026/07/01 14:24:00
16,NULL,40,741,NULL,2026/06/16 7:30:00,110000,VNPay,VN0016,hong_dang,939223344,0,Da thanh toan,2026/06/16 7:30:00
17,NULL,6,477,NULL,2026/06/03 20:42:00,440000,Banking,BA0017,vuthilan,977112233,0,Da thanh toan,2026/06/03 20:42:00
18,NULL,18,1438,NULL,2026/07/20 17:42:00,220000,VNPay,VN0018,quang_huy_ds,938112244,0,Da thanh toan,2026/07/20 17:42:00
19,NULL,25,553,NULL,2026/06/19 22:30:00,220000,MoMo,MO0019,kim_ngan_94,969223344,0,Da thanh toan,2026/06/19 22:30:00
20,NULL,21,822,NULL,2026/06/17 1:25:00,390000,MoMo,MO0020,khanh_huyen2k,355112288,0,Da thanh toan,2026/06/17 1:25:00
21,NULL,17,286,NULL,2026/05/29 20:12:00,390000,VNPay,VN0021,yen_nhi89,902334411,0,Da thanh toan,2026/05/29 20:12:00
22,NULL,15,284,NULL,2026/06/11 22:52:00,110000,Banking,BA0022,hoa_nang_95,922334455,0,Da thanh toan,2026/06/11 22:52:00
23,NULL,11,1394,NULL,2026/07/07 22:32:00,560000,MoMo,MO0023,maiphuong_hn,915223344,0,Da thanh toan,2026/07/07 22:32:00
24,NULL,44,1477,NULL,2026/07/22 1:02:00,390000,MoMo,MO0024,quynh_anh_hn,964112233,0,Da thanh toan,2026/07/22 1:02:00
25,NULL,30,7,NULL,2026/05/31 9:15:00,300000,Banking,BA0025,xuan_bach,931223344,0,Da thanh toan,2026/05/31 9:15:00
26,NULL,20,1309,NULL,2026/07/12 14:33:00,280000,Banking,BA0026,bao_long,918445566,0,Da thanh toan,2026/07/12 14:33:00
27,NULL,1,1227,NULL,2026/07/05 20:40:00,120000,MoMo,MO0027,nguyenvana,912345678,0,Da thanh toan,2026/07/05 20:40:00
28,NULL,4,494,NULL,2026/06/08 10:38:00,520000,Banking,BA0028,phamthuyduong,345678901,0,Da thanh toan,2026/06/08 10:38:00
29,NULL,11,543,NULL,2026/06/08 20:45:00,520000,Banking,BA0029,maiphuong_hn,915223344,0,Da thanh toan,2026/06/08 20:45:00
30,NULL,42,765,NULL,2026/06/27 18:04:00,480000,MoMo,MO0030,cam_tu_96,333221144,0,Da thanh toan,2026/06/27 18:04:00
31,NULL,38,1135,NULL,2026/06/28 11:29:00,100000,MoMo,MO0031,quang_minh_it,915667788,0,Da thanh toan,2026/06/28 11:29:00
32,NULL,5,65,NULL,2026/05/27 18:03:00,220000,Banking,BA0032,hoangquan123,919887766,0,Da thanh toan,2026/05/27 18:03:00
33,NULL,9,1482,NULL,2026/07/11 9:32:00,220000,MoMo,MO0033,cuong_vba,988001122,0,Da thanh toan,2026/07/11 9:32:00
34,NULL,7,1350,NULL,2026/07/04 3:25:00,520000,Banking,BA0034,dangkhoadev,933445566,0,Da thanh toan,2026/07/04 3:25:00
35,NULL,22,224,NULL,2026/05/29 4:03:00,520000,MoMo,MO0035,viet_anh_it,974556677,0,Da thanh toan,2026/05/29 4:03:00
