User,,,,,,
id_user,ten,email,cccd,sdt,ngay_sinh,mat_khau
1,nguyenvana,nguyenvana95@gmail.com,1095001234,912345678,5/12/1995 0:00,aVAn!9595
2,tranthingoc88,tranthingoc88@gmail.com,38188005678,987654321,11/20/1998 0:00,@ngocTran88
3,leminh_hieu,leminhhieu92@gmail.com,79092009012,905123456,3/15/2000 0:00,Hieu#minh_92
4,phamthuyduong,phamthuyduong99@gmail.com,40199003456,345678901,8/5/2002 0:00,Ptd$2026!
5,hoangquan123,hoangquandev@gmail.com,1090007890,919887766,1/25/2005 0:00,QuanHoang_No1*
6,vuthilan,vuthilanhn@gmail.com,1194002345,977112233,7/14/2008 0:00,LanVu&9494
7,dangkhoadev,dangkhoadev97@gmail.com,72097004567,933445566,12/2/1996 0:00,devKhoa^2k
8,bichngoc_96,bichngocle96@gmail.com,36196001122,966778899,9/30/1995 0:00,!NgocBich96!
9,cuong_vba,cuongnguyen85@gmail.com,1085006677,988001122,2/10/1999 0:00,vbaCuong#85
10,tuananh_pro,tuananhpro93@gmail.com,48093008899,944556677,6/18/2001 0:00,TuanAnh.pro1
11,maiphuong_hn,maiphuonghn91@gmail.com,1191004455,915223344,10/12/2003 0:00,PhuongMai$@91
12,son_tung_mtp,sontungmtp94@gmail.com,34194005566,909090909,7/5/2004 0:00,sTung_Mtp94*
13,thanh_huyen,thanhhuyen98@gmail.com,1198007788,399112233,4/22/2006 0:00,huyen_Thanh98!
14,minh_triet,minhtrietvnu@gmail.com,1099009900,971234888,11/5/2007 0:00,TrietMinh#vnu
15,hoa_nang_95,hoanang95@gmail.com,66195003322,922334455,2/28/1997 0:00,HoaNang_!95
16,ducthanh_ict,ducthanhict88@gmail.com,1088001212,981556677,8/15/1998 0:00,@ThanhICT88
17,yen_nhi89,yennhihcm89@gmail.com,79189004433,902334411,1/1/2000 0:00,Nhiyen_hcm^89
18,quang_huy_ds,quanghuyds96@gmail.com,1096006655,938112244,5/20/2002 0:00,dS_HuyQuang!
19,thuy_linh_97,thuylinhvcb97@gmail.com,1197005544,961223344,9/9/2004 0:00,!ThuyLinhVCB
20,bao_long,baolonghcm93@gmail.com,79093002211,918445566,3/10/2005 0:00,BaoLong#0393
21,khanh_huyen2k,khanhhuyen2000@gmail.com,38100008877,355112288,6/15/2008 0:00,khanhHuyen*2k
22,viet_anh_it,vietanhit92@gmail.com,1092004455,974556677,10/30/1996 0:00,vAnh_it@92
23,minh_thu_hn,minhthuhanoi95@gmail.com,1195007766,912445566,12/25/1997 0:00,ThuMinh_Hn#95
24,gia_huy_lee,giahuylee97@gmail.com,79097009988,903112233,7/7/1999 0:00,gHuyLee*97
25,kim_ngan_94,kimnganle94@gmail.com,1194001122,969223344,4/14/2001 0:00,kngan@1994!
26,hoang_nam_hp,hoangnamhp86@gmail.com,31086005544,985443322,2/20/2003 0:00,HP_namHoang#
27,thuy_duong_93,thuyduong93@gmail.com,1193006677,942556677,11/11/2004 0:00,tDuong^1111
28,minh_quan_98,minhquanvnu98@gmail.com,1098008899,917332211,8/8/2005 0:00,qMinh_98#vnu
29,ngoc_anh_vov,ngocanhvov90@gmail.com,1190001111,322334455,5/5/2007 0:00,nAnh_VOV$90
30,xuan_bach,xuanbachle95@gmail.com,1095002222,931223344,10/10/2008 0:00,Bach_xuan@95
31,thuy_vi_99,thuyvi99@gmail.com,79199003333,963445566,1/19/1995 0:00,vIThuy!1999
32,hung_thinh,thinhhungvn87@gmail.com,1087004444,912112233,3/3/1998 0:00,hThinh#VN87
33,diep_chi,diepchimedia92@gmail.com,1192005555,975667788,6/6/2000 0:00,ChiDiep_media&
34,quoc_viet,vietquocle94@gmail.com,48094006666,908778899,9/12/2002 0:00,VietQuoc*1294
35,minh_hang_91,hangminh91@gmail.com,1191007777,388990011,4/30/2004 0:00,mHang@9191!
36,tan_phat,tanphatdev96@gmail.com,79096008888,947001122,7/20/2005 0:00,tPhat_dev^96
37,thanh_truc,thanhtrucle98@gmail.com,1198009999,962334455,11/15/2007 0:00,!tTruc_1998
38,quang_minh_it,minhquangit93@gmail.com,1093001234,915667788,2/2/2008 0:00,qMinh_it#93
39,kim_chi_97,kimchihcm97@gmail.com,72197005678,904112233,8/25/1996 0:00,kChi@Hcm_97
40,hong_dang,danghongvn89@gmail.com,1089009012,939223344,12/12/1997 0:00,hDang!dang89
41,nguyen_khoi,khoinguyen99@gmail.com,1099003456,972445566,5/1/1999 0:00,kNguyen$0501
42,cam_tu_96,camtu96cam@gmail.com,1196007890,333221144,10/20/2001 0:00,cTu_96^cam
43,nhat_huy,nhathuyart95@gmail.com,79095002345,918556677,3/14/2003 0:00,nHuy_design!
44,quynh_anh_hn,quynhanhhn94@gmail.com,1194004567,964112233,7/7/2004 0:00,qAnh_Hn@94
45,huu_phuoc,huuphuocle84@gmail.com,1084001122,982778899,1/20/2005 0:00,hPhuoc#1984
46,thao_nguyen_92,nguyenthao92@gmail.com,1192005566,905445566,9/18/2006 0:00,tNguyen_92@!
47,dinh_chien,dinhchienvba88@gmail.com,31088007788,943112233,4/4/2007 0:00,dChien*Vba88
48,thuy_tien_98,thuytienvcb98@gmail.com,79198009900,967223344,2/14/2008 0:00,tTien_VCB!98
49,duy_manh_93,duy_manh93it@gmail.com,1093003322,914667788,11/25/1995 0:00,dManh#93_it
50,hoai_anh_vtv,hoaianhvtv90@gmail.com,1190001212,989334455,8/8/1998 0:00,hAnh_VTV@90
